,precision,recall,f1-score,support
Black_footed_Albatross,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Laysan_Albatross,0.6764705882352942,0.7666666666666667,0.71875,30.0
Sooty_Albatross,0.9130434782608695,0.75,0.8235294117647058,28.0
Groove_billed_Ani,0.8888888888888888,0.8,0.8421052631578947,30.0
Crested_Auklet,1.0,0.6428571428571429,0.782608695652174,14.0
Least_Auklet,1.0,0.8181818181818182,0.9,11.0
Parakeet_Auklet,0.8214285714285714,1.0,0.9019607843137255,23.0
Rhinoceros_Auklet,0.68,0.9444444444444444,0.7906976744186046,18.0
Brewer_Blackbird,0.3783783783783784,0.4827586206896552,0.42424242424242425,29.0
Red_winged_Blackbird,0.7837837837837838,0.9666666666666667,0.8656716417910447,30.0
Rusty_Blackbird,0.9285714285714286,0.43333333333333335,0.5909090909090909,30.0
Yellow_headed_Blackbird,1.0,0.8846153846153846,0.9387755102040817,26.0
Bobolink,0.9310344827586207,0.9,0.9152542372881356,30.0
Indigo_Bunting,0.8888888888888888,0.8,0.8421052631578947,30.0
Lazuli_Bunting,0.9,0.9642857142857143,0.9310344827586207,28.0
Painted_Bunting,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
Cardinal,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
Spotted_Catbird,0.875,0.9333333333333333,0.9032258064516129,15.0
Gray_Catbird,0.8275862068965517,0.8275862068965517,0.8275862068965517,29.0
Yellow_breasted_Chat,0.8518518518518519,0.7931034482758621,0.8214285714285714,29.0
Eastern_Towhee,0.875,0.9333333333333333,0.9032258064516129,30.0
Chuck_will_Widow,0.6666666666666666,0.38461538461538464,0.4878048780487805,26.0
Brandt_Cormorant,0.5483870967741935,0.5862068965517241,0.5666666666666667,29.0
Red_faced_Cormorant,0.6538461538461539,0.7727272727272727,0.7083333333333334,22.0
Pelagic_Cormorant,0.4,0.2,0.26666666666666666,30.0
Bronzed_Cowbird,0.8181818181818182,0.9,0.8571428571428571,30.0
Shiny_Cowbird,0.41935483870967744,0.43333333333333335,0.4262295081967213,30.0
Brown_Creeper,0.9,0.9310344827586207,0.9152542372881356,29.0
American_Crow,0.3888888888888889,0.4666666666666667,0.42424242424242425,30.0
Fish_Crow,0.24528301886792453,0.43333333333333335,0.3132530120481928,30.0
Black_billed_Cuckoo,0.92,0.7666666666666667,0.8363636363636363,30.0
Mangrove_Cuckoo,0.8095238095238095,0.7391304347826086,0.7727272727272727,23.0
Yellow_billed_Cuckoo,0.8333333333333334,0.6896551724137931,0.7547169811320755,29.0
Gray_crowned_Rosy_Finch,0.8888888888888888,0.8275862068965517,0.8571428571428571,29.0
Purple_Finch,0.8235294117647058,0.9333333333333333,0.875,30.0
Northern_Flicker,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Acadian_Flycatcher,0.6206896551724138,0.6206896551724138,0.6206896551724138,29.0
Great_Crested_Flycatcher,0.6666666666666666,0.8,0.7272727272727273,30.0
Least_Flycatcher,0.3170731707317073,0.4482758620689655,0.37142857142857144,29.0
Olive_sided_Flycatcher,0.5925925925925926,0.5333333333333333,0.5614035087719298,30.0
Scissor_tailed_Flycatcher,0.8275862068965517,0.8,0.8135593220338984,30.0
Vermilion_Flycatcher,0.92,0.7666666666666667,0.8363636363636363,30.0
Yellow_bellied_Flycatcher,0.5833333333333334,0.2413793103448276,0.34146341463414637,29.0
Frigatebird,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Northern_Fulmar,0.95,0.6333333333333333,0.76,30.0
Gadwall,0.9,0.9,0.9,30.0
American_Goldfinch,0.9310344827586207,0.9,0.9152542372881356,30.0
European_Goldfinch,1.0,0.8666666666666667,0.9285714285714286,30.0
Boat_tailed_Grackle,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
Eared_Grebe,0.5576923076923077,0.9666666666666667,0.7073170731707317,30.0
Horned_Grebe,0.8235294117647058,0.4666666666666667,0.5957446808510638,30.0
Pied_billed_Grebe,1.0,0.7,0.8235294117647058,30.0
Western_Grebe,0.96,0.8,0.8727272727272727,30.0
Blue_Grosbeak,0.8181818181818182,0.9,0.8571428571428571,30.0
Evening_Grosbeak,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Pine_Grosbeak,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Rose_breasted_Grosbeak,0.8333333333333334,1.0,0.9090909090909091,30.0
Pigeon_Guillemot,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0
California_Gull,0.30434782608695654,0.23333333333333334,0.2641509433962264,30.0
Glaucous_winged_Gull,0.5,0.3793103448275862,0.43137254901960786,29.0
Heermann_Gull,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
Herring_Gull,0.38461538461538464,0.16666666666666666,0.23255813953488372,30.0
Ivory_Gull,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Ring_billed_Gull,0.6,0.4,0.48,30.0
Slaty_backed_Gull,0.5172413793103449,0.75,0.6122448979591837,20.0
Western_Gull,0.33962264150943394,0.6,0.43373493975903615,30.0
Anna_Hummingbird,0.7391304347826086,0.5666666666666667,0.6415094339622641,30.0
Ruby_throated_Hummingbird,0.65625,0.7,0.6774193548387096,30.0
Rufous_Hummingbird,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Green_Violetear,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Long_tailed_Jaeger,0.32608695652173914,0.5,0.39473684210526316,30.0
Pomarine_Jaeger,0.4166666666666667,0.3333333333333333,0.37037037037037035,30.0
Blue_Jay,0.8108108108108109,1.0,0.8955223880597015,30.0
Florida_Jay,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Green_Jay,0.9,1.0,0.9473684210526315,27.0
Dark_eyed_Junco,0.7837837837837838,0.9666666666666667,0.8656716417910447,30.0
Tropical_Kingbird,0.8571428571428571,1.0,0.9230769230769231,30.0
Gray_Kingbird,0.5416666666666666,0.896551724137931,0.6753246753246753,29.0
Belted_Kingfisher,0.5714285714285714,0.9333333333333333,0.7088607594936709,30.0
Green_Kingfisher,1.0,0.6333333333333333,0.7755102040816326,30.0
Pied_Kingfisher,0.9310344827586207,0.9,0.9152542372881356,30.0
Ringed_Kingfisher,0.9523809523809523,0.6666666666666666,0.7843137254901961,30.0
White_breasted_Kingfisher,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Red_legged_Kittiwake,0.5714285714285714,0.8695652173913043,0.6896551724137931,23.0
Horned_Lark,0.75,1.0,0.8571428571428571,30.0
Pacific_Loon,0.7297297297297297,0.9,0.8059701492537313,30.0
Mallard,0.9642857142857143,0.9,0.9310344827586207,30.0
Western_Meadowlark,1.0,0.7666666666666667,0.8679245283018868,30.0
Hooded_Merganser,0.8275862068965517,0.8,0.8135593220338984,30.0
Red_breasted_Merganser,0.78125,0.8333333333333334,0.8064516129032258,30.0
Mockingbird,0.4722222222222222,0.5666666666666667,0.5151515151515151,30.0
Nighthawk,0.8695652173913043,0.6666666666666666,0.7547169811320755,30.0
Clark_Nutcracker,0.75,1.0,0.8571428571428571,30.0
White_breasted_Nuthatch,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Baltimore_Oriole,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
Hooded_Oriole,0.8,0.8,0.8,30.0
Orchard_Oriole,0.6896551724137931,0.6896551724137931,0.6896551724137931,29.0
Scott_Oriole,1.0,0.8333333333333334,0.9090909090909091,30.0
Ovenbird,0.9642857142857143,0.9,0.9310344827586207,30.0
Brown_Pelican,0.92,0.7666666666666667,0.8363636363636363,30.0
White_Pelican,0.72,0.9,0.8,20.0
Western_Wood_Pewee,0.4827586206896552,0.4666666666666667,0.4745762711864407,30.0
Sayornis,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
American_Pipit,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
Whip_poor_Will,0.39473684210526316,0.7894736842105263,0.5263157894736842,19.0
Horned_Puffin,0.9642857142857143,0.9,0.9310344827586207,30.0
Common_Raven,0.43478260869565216,0.3333333333333333,0.37735849056603776,30.0
White_necked_Raven,1.0,0.5666666666666667,0.723404255319149,30.0
American_Redstart,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Geococcyx,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Loggerhead_Shrike,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Great_Grey_Shrike,0.76,0.6333333333333333,0.6909090909090909,30.0
Baird_Sparrow,0.8461538461538461,0.55,0.6666666666666666,20.0
Black_throated_Sparrow,0.95,0.6333333333333333,0.76,30.0
Brewer_Sparrow,0.625,0.1724137931034483,0.2702702702702703,29.0
Chipping_Sparrow,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Clay_colored_Sparrow,0.3333333333333333,0.896551724137931,0.48598130841121495,29.0
House_Sparrow,0.5,0.6666666666666666,0.5714285714285714,30.0
Field_Sparrow,0.8,0.41379310344827586,0.5454545454545454,29.0
Fox_Sparrow,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
Grasshopper_Sparrow,0.72,0.6,0.6545454545454545,30.0
Harris_Sparrow,1.0,0.8666666666666667,0.9285714285714286,30.0
Henslow_Sparrow,0.6578947368421053,0.8333333333333334,0.7352941176470589,30.0
Le_Conte_Sparrow,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
Lincoln_Sparrow,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
Nelson_Sharp_tailed_Sparrow,0.9130434782608695,0.7,0.7924528301886793,30.0
Savannah_Sparrow,0.6111111111111112,0.7333333333333333,0.6666666666666666,30.0
Seaside_Sparrow,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Song_Sparrow,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Tree_Sparrow,0.6521739130434783,0.5,0.5660377358490566,30.0
Vesper_Sparrow,0.8571428571428571,0.4,0.5454545454545454,30.0
White_crowned_Sparrow,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0
White_throated_Sparrow,0.9310344827586207,0.9,0.9152542372881356,30.0
Cape_Glossy_Starling,1.0,0.6333333333333333,0.7755102040816326,30.0
Bank_Swallow,0.5625,0.6,0.5806451612903226,30.0
Barn_Swallow,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Cliff_Swallow,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
Tree_Swallow,0.92,0.7666666666666667,0.8363636363636363,30.0
Scarlet_Tanager,0.875,0.9333333333333333,0.9032258064516129,30.0
Summer_Tanager,0.9642857142857143,0.9,0.9310344827586207,30.0
Artic_Tern,0.72,0.6206896551724138,0.6666666666666666,29.0
Black_Tern,0.5833333333333334,0.4666666666666667,0.5185185185185185,30.0
Caspian_Tern,0.5263157894736842,0.3333333333333333,0.40816326530612246,30.0
Common_Tern,0.29545454545454547,0.43333333333333335,0.35135135135135137,30.0
Elegant_Tern,0.4,0.5333333333333333,0.45714285714285713,30.0
Forsters_Tern,0.5,0.4666666666666667,0.4827586206896552,30.0
Least_Tern,0.4576271186440678,0.9,0.6067415730337079,30.0
Green_tailed_Towhee,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Brown_Thrasher,0.9032258064516129,0.9655172413793104,0.9333333333333333,29.0
Sage_Thrasher,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Black_capped_Vireo,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
Blue_headed_Vireo,0.8,0.6666666666666666,0.7272727272727273,30.0
Philadelphia_Vireo,0.8666666666666667,0.4482758620689655,0.5909090909090909,29.0
Red_eyed_Vireo,0.8275862068965517,0.8,0.8135593220338984,30.0
Warbling_Vireo,0.44642857142857145,0.8333333333333334,0.5813953488372093,30.0
White_eyed_Vireo,0.725,0.9666666666666667,0.8285714285714286,30.0
Yellow_throated_Vireo,0.7241379310344828,0.7241379310344828,0.7241379310344828,29.0
Bay_breasted_Warbler,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Black_and_white_Warbler,0.9090909090909091,1.0,0.9523809523809523,30.0
Black_throated_Blue_Warbler,0.9333333333333333,0.9655172413793104,0.9491525423728814,29.0
Blue_winged_Warbler,0.6153846153846154,0.8,0.6956521739130435,30.0
Canada_Warbler,0.9230769230769231,0.8,0.8571428571428571,30.0
Cape_May_Warbler,1.0,0.5333333333333333,0.6956521739130435,30.0
Cerulean_Warbler,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Chestnut_sided_Warbler,0.7941176470588235,0.9,0.84375,30.0
Golden_winged_Warbler,0.8666666666666667,0.896551724137931,0.8813559322033898,29.0
Hooded_Warbler,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
Kentucky_Warbler,0.92,0.7931034482758621,0.8518518518518519,29.0
Magnolia_Warbler,0.7142857142857143,0.8620689655172413,0.78125,29.0
Mourning_Warbler,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
Myrtle_Warbler,0.625,0.8333333333333334,0.7142857142857143,30.0
Nashville_Warbler,0.6444444444444445,0.9666666666666667,0.7733333333333333,30.0
Orange_crowned_Warbler,0.5806451612903226,0.6,0.5901639344262295,30.0
Palm_Warbler,0.5490196078431373,0.9333333333333333,0.691358024691358,30.0
Pine_Warbler,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0
Prairie_Warbler,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Prothonotary_Warbler,0.9642857142857143,0.9,0.9310344827586207,30.0
Swainson_Warbler,0.7777777777777778,0.8076923076923077,0.7924528301886793,26.0
Tennessee_Warbler,0.5526315789473685,0.7241379310344828,0.6268656716417911,29.0
Wilson_Warbler,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
Worm_eating_Warbler,0.8695652173913043,0.6896551724137931,0.7692307692307693,29.0
Yellow_Warbler,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Northern_Waterthrush,0.78125,0.8333333333333334,0.8064516129032258,30.0
Louisiana_Waterthrush,0.8888888888888888,0.8,0.8421052631578947,30.0
Bohemian_Waxwing,0.8529411764705882,0.9666666666666667,0.90625,30.0
Cedar_Waxwing,1.0,0.9333333333333333,0.9655172413793104,30.0
American_Three_toed_Woodpecker,0.8571428571428571,0.9,0.8780487804878049,20.0
Pileated_Woodpecker,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Red_bellied_Woodpecker,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Red_cockaded_Woodpecker,0.8709677419354839,0.9310344827586207,0.9,29.0
Red_headed_Woodpecker,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Downy_Woodpecker,1.0,0.8666666666666667,0.9285714285714286,30.0
Bewick_Wren,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
Cactus_Wren,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Carolina_Wren,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
House_Wren,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
Marsh_Wren,0.7741935483870968,0.8,0.7868852459016393,30.0
Rock_Wren,1.0,0.6666666666666666,0.8,30.0
Winter_Wren,0.7297297297297297,0.9,0.8059701492537313,30.0
