,precision,recall,f1-score,support
Black_footed_Albatross,0.7,0.7,0.7,30.0
Laysan_Albatross,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Sooty_Albatross,0.7419354838709677,0.8214285714285714,0.7796610169491526,28.0
Groove_billed_Ani,0.7777777777777778,0.7,0.7368421052631579,30.0
Crested_Auklet,0.5238095238095238,0.7857142857142857,0.6285714285714286,14.0
Least_Auklet,1.0,0.8181818181818182,0.9,11.0
Parakeet_Auklet,0.9,0.782608695652174,0.8372093023255814,23.0
Rhinoceros_Auklet,0.6153846153846154,0.8888888888888888,0.7272727272727273,18.0
Brewer_Blackbird,0.42857142857142855,0.3103448275862069,0.36,29.0
Red_winged_Blackbird,0.9,0.9,0.9,30.0
Rusty_Blackbird,0.8666666666666667,0.43333333333333335,0.5777777777777777,30.0
Yellow_headed_Blackbird,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
Bobolink,0.8529411764705882,0.9666666666666667,0.90625,30.0
Indigo_Bunting,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Lazuli_Bunting,0.8387096774193549,0.9285714285714286,0.8813559322033898,28.0
Painted_Bunting,0.896551724137931,0.9285714285714286,0.9122807017543859,28.0
Cardinal,0.8181818181818182,1.0,0.9,27.0
Spotted_Catbird,1.0,0.9333333333333333,0.9655172413793104,15.0
Gray_Catbird,0.8695652173913043,0.6896551724137931,0.7692307692307693,29.0
Yellow_breasted_Chat,0.88,0.7586206896551724,0.8148148148148148,29.0
Eastern_Towhee,1.0,0.7333333333333333,0.8461538461538461,30.0
Chuck_will_Widow,0.5789473684210527,0.4230769230769231,0.4888888888888889,26.0
Brandt_Cormorant,0.4642857142857143,0.4482758620689655,0.45614035087719296,29.0
Red_faced_Cormorant,0.5757575757575758,0.8636363636363636,0.6909090909090909,22.0
Pelagic_Cormorant,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
Bronzed_Cowbird,0.9,0.9,0.9,30.0
Shiny_Cowbird,0.4358974358974359,0.5666666666666667,0.4927536231884058,30.0
Brown_Creeper,1.0,0.7931034482758621,0.8846153846153846,29.0
American_Crow,0.25,0.5,0.3333333333333333,30.0
Fish_Crow,0.29411764705882354,0.3333333333333333,0.3125,30.0
Black_billed_Cuckoo,0.875,0.9333333333333333,0.9032258064516129,30.0
Mangrove_Cuckoo,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Yellow_billed_Cuckoo,1.0,0.5862068965517241,0.7391304347826086,29.0
Gray_crowned_Rosy_Finch,0.9565217391304348,0.7586206896551724,0.8461538461538461,29.0
Purple_Finch,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Northern_Flicker,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Acadian_Flycatcher,0.41304347826086957,0.6551724137931034,0.5066666666666667,29.0
Great_Crested_Flycatcher,0.5,0.8666666666666667,0.6341463414634146,30.0
Least_Flycatcher,0.5,0.1724137931034483,0.2564102564102564,29.0
Olive_sided_Flycatcher,0.5882352941176471,0.6666666666666666,0.625,30.0
Scissor_tailed_Flycatcher,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Vermilion_Flycatcher,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Yellow_bellied_Flycatcher,0.6086956521739131,0.4827586206896552,0.5384615384615384,29.0
Frigatebird,1.0,0.5,0.6666666666666666,30.0
Northern_Fulmar,0.7241379310344828,0.7,0.711864406779661,30.0
Gadwall,0.5510204081632653,0.9,0.6835443037974683,30.0
American_Goldfinch,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
European_Goldfinch,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Boat_tailed_Grackle,0.6190476190476191,0.43333333333333335,0.5098039215686274,30.0
Eared_Grebe,0.6190476190476191,0.8666666666666667,0.7222222222222222,30.0
Horned_Grebe,0.8823529411764706,0.5,0.6382978723404256,30.0
Pied_billed_Grebe,0.8275862068965517,0.8,0.8135593220338984,30.0
Western_Grebe,1.0,0.8333333333333334,0.9090909090909091,30.0
Blue_Grosbeak,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Evening_Grosbeak,0.8709677419354839,0.9,0.8852459016393442,30.0
Pine_Grosbeak,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Rose_breasted_Grosbeak,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Pigeon_Guillemot,0.96,0.8571428571428571,0.9056603773584906,28.0
California_Gull,0.42105263157894735,0.5333333333333333,0.47058823529411764,30.0
Glaucous_winged_Gull,0.7692307692307693,0.3448275862068966,0.47619047619047616,29.0
Heermann_Gull,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Herring_Gull,0.4117647058823529,0.23333333333333334,0.2978723404255319,30.0
Ivory_Gull,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Ring_billed_Gull,0.47058823529411764,0.5333333333333333,0.5,30.0
Slaty_backed_Gull,0.6363636363636364,0.35,0.45161290322580644,20.0
Western_Gull,0.43902439024390244,0.6,0.5070422535211268,30.0
Anna_Hummingbird,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
Ruby_throated_Hummingbird,0.7692307692307693,0.6666666666666666,0.7142857142857143,30.0
Rufous_Hummingbird,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
Green_Violetear,1.0,0.9,0.9473684210526315,30.0
Long_tailed_Jaeger,0.47368421052631576,0.3,0.3673469387755102,30.0
Pomarine_Jaeger,0.5135135135135135,0.6333333333333333,0.5671641791044776,30.0
Blue_Jay,0.96,0.8,0.8727272727272727,30.0
Florida_Jay,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Green_Jay,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
Dark_eyed_Junco,0.7105263157894737,0.9,0.7941176470588235,30.0
Tropical_Kingbird,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Gray_Kingbird,0.625,0.8620689655172413,0.7246376811594203,29.0
Belted_Kingfisher,0.6304347826086957,0.9666666666666667,0.7631578947368421,30.0
