,precision,recall,f1-score,support
Black_footed_Albatross,0.56,0.4666666666666667,0.509090909090909,30.0
Laysan_Albatross,0.4222222222222222,0.6333333333333333,0.5066666666666667,30.0
Sooty_Albatross,0.36363636363636365,0.5714285714285714,0.4444444444444444,28.0
Groove_billed_Ani,0.6842105263157895,0.43333333333333335,0.5306122448979592,30.0
Crested_Auklet,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
Least_Auklet,0.6,0.2727272727272727,0.375,11.0
Parakeet_Auklet,0.7407407407407407,0.8695652173913043,0.8,23.0
Rhinoceros_Auklet,0.5,0.5,0.5,18.0
Brewer_Blackbird,0.375,0.5172413793103449,0.43478260869565216,29.0
Red_winged_Blackbird,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Rusty_Blackbird,0.5333333333333333,0.26666666666666666,0.35555555555555557,30.0
Yellow_headed_Blackbird,0.7741935483870968,0.9230769230769231,0.8421052631578947,26.0
Bobolink,0.95,0.6333333333333333,0.76,30.0
Indigo_Bunting,0.6170212765957447,0.9666666666666667,0.7532467532467533,30.0
Lazuli_Bunting,0.7352941176470589,0.8928571428571429,0.8064516129032258,28.0
Painted_Bunting,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
Cardinal,0.6578947368421053,0.9259259259259259,0.7692307692307693,27.0
Spotted_Catbird,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Gray_Catbird,0.9444444444444444,0.5862068965517241,0.723404255319149,29.0
Yellow_breasted_Chat,0.6,0.7241379310344828,0.65625,29.0
Eastern_Towhee,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Chuck_will_Widow,0.4878048780487805,0.7692307692307693,0.5970149253731343,26.0
Brandt_Cormorant,0.1958762886597938,0.6551724137931034,0.30158730158730157,29.0
Red_faced_Cormorant,0.5806451612903226,0.8181818181818182,0.6792452830188679,22.0
Pelagic_Cormorant,0.30434782608695654,0.23333333333333334,0.2641509433962264,30.0
Bronzed_Cowbird,0.8076923076923077,0.7,0.75,30.0
Shiny_Cowbird,0.3333333333333333,0.03333333333333333,0.06060606060606061,30.0
Brown_Creeper,0.5641025641025641,0.7586206896551724,0.6470588235294118,29.0
American_Crow,0.45454545454545453,0.16666666666666666,0.24390243902439024,30.0
Fish_Crow,0.3333333333333333,0.23333333333333334,0.27450980392156865,30.0
Black_billed_Cuckoo,0.6666666666666666,0.6,0.631578947368421,30.0
Mangrove_Cuckoo,0.55,0.4782608695652174,0.5116279069767442,23.0
Yellow_billed_Cuckoo,0.5714285714285714,0.41379310344827586,0.48,29.0
Gray_crowned_Rosy_Finch,0.9375,0.5172413793103449,0.6666666666666666,29.0
Purple_Finch,0.8235294117647058,0.9333333333333333,0.875,30.0
Northern_Flicker,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Acadian_Flycatcher,0.30952380952380953,0.4482758620689655,0.36619718309859156,29.0
Great_Crested_Flycatcher,0.575,0.7666666666666667,0.6571428571428571,30.0
Least_Flycatcher,0.2857142857142857,0.27586206896551724,0.2807017543859649,29.0
Olive_sided_Flycatcher,0.43137254901960786,0.7333333333333333,0.5432098765432098,30.0
Scissor_tailed_Flycatcher,0.88,0.7333333333333333,0.8,30.0
Vermilion_Flycatcher,1.0,0.4666666666666667,0.6363636363636364,30.0
Yellow_bellied_Flycatcher,0.375,0.41379310344827586,0.39344262295081966,29.0
Frigatebird,0.9166666666666666,0.36666666666666664,0.5238095238095238,30.0
Northern_Fulmar,0.32653061224489793,0.5333333333333333,0.4050632911392405,30.0
Gadwall,0.46808510638297873,0.7333333333333333,0.5714285714285714,30.0
American_Goldfinch,0.8333333333333334,0.6666666666666666,0.7407407407407407,30.0
European_Goldfinch,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0
Boat_tailed_Grackle,0.5,0.3,0.375,30.0
Eared_Grebe,0.4642857142857143,0.43333333333333335,0.4482758620689655,30.0
Horned_Grebe,0.3898305084745763,0.7666666666666667,0.5168539325842697,30.0
Pied_billed_Grebe,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0
Western_Grebe,0.95,0.6333333333333333,0.76,30.0
Blue_Grosbeak,0.7272727272727273,0.8,0.7619047619047619,30.0
Evening_Grosbeak,0.7428571428571429,0.8666666666666667,0.8,30.0
Pine_Grosbeak,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Rose_breasted_Grosbeak,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Pigeon_Guillemot,0.7647058823529411,0.4642857142857143,0.5777777777777777,28.0
California_Gull,0.3333333333333333,0.2,0.25,30.0
Glaucous_winged_Gull,0.35714285714285715,0.5172413793103449,0.4225352112676056,29.0
Heermann_Gull,0.9310344827586207,0.9,0.9152542372881356,30.0
Herring_Gull,0.3333333333333333,0.2,0.25,30.0
Ivory_Gull,0.6176470588235294,0.7,0.65625,30.0
Ring_billed_Gull,0.234375,0.5,0.3191489361702128,30.0
Slaty_backed_Gull,0.26666666666666666,0.4,0.32,20.0
Western_Gull,0.5714285714285714,0.26666666666666666,0.36363636363636365,30.0
Anna_Hummingbird,0.6363636363636364,0.4666666666666667,0.5384615384615384,30.0
Ruby_throated_Hummingbird,0.55,0.7333333333333333,0.6285714285714286,30.0
