,precision,recall,f1-score,support
Black_footed_Albatross,0.84,0.7,0.7636363636363637,30.0
Laysan_Albatross,0.5111111111111111,0.7666666666666667,0.6133333333333333,30.0
Sooty_Albatross,0.7714285714285715,0.9642857142857143,0.8571428571428571,28.0
Groove_billed_Ani,0.6944444444444444,0.8333333333333334,0.7575757575757576,30.0
Crested_Auklet,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
Least_Auklet,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Parakeet_Auklet,0.9583333333333334,1.0,0.9787234042553191,23.0
Rhinoceros_Auklet,0.5483870967741935,0.9444444444444444,0.6938775510204082,18.0
Brewer_Blackbird,0.6428571428571429,0.3103448275862069,0.4186046511627907,29.0
Red_winged_Blackbird,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Rusty_Blackbird,0.8333333333333334,0.3333333333333333,0.47619047619047616,30.0
Yellow_headed_Blackbird,0.9259259259259259,0.9615384615384616,0.9433962264150944,26.0
Bobolink,0.7647058823529411,0.8666666666666667,0.8125,30.0
Indigo_Bunting,0.84375,0.9,0.8709677419354839,30.0
Lazuli_Bunting,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0
Painted_Bunting,1.0,0.8571428571428571,0.9230769230769231,28.0
Cardinal,0.7878787878787878,0.9629629629629629,0.8666666666666667,27.0
Spotted_Catbird,0.7894736842105263,1.0,0.8823529411764706,15.0
Gray_Catbird,0.8,0.8275862068965517,0.8135593220338984,29.0
Yellow_breasted_Chat,0.8695652173913043,0.6896551724137931,0.7692307692307693,29.0
Eastern_Towhee,0.8,0.9333333333333333,0.8615384615384616,30.0
Chuck_will_Widow,0.6842105263157895,0.5,0.5777777777777777,26.0
Brandt_Cormorant,0.5428571428571428,0.6551724137931034,0.59375,29.0
Red_faced_Cormorant,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0
Pelagic_Cormorant,0.6190476190476191,0.43333333333333335,0.5098039215686274,30.0
Bronzed_Cowbird,0.8888888888888888,0.8,0.8421052631578947,30.0
Shiny_Cowbird,0.75,0.2,0.3157894736842105,30.0
Brown_Creeper,0.8571428571428571,0.8275862068965517,0.8421052631578947,29.0
American_Crow,0.4,0.3333333333333333,0.36363636363636365,30.0
Fish_Crow,0.275,0.36666666666666664,0.3142857142857143,30.0
Black_billed_Cuckoo,0.6829268292682927,0.9333333333333333,0.7887323943661971,30.0
Mangrove_Cuckoo,1.0,0.43478260869565216,0.6060606060606061,23.0
Yellow_billed_Cuckoo,0.7142857142857143,0.6896551724137931,0.7017543859649122,29.0
Gray_crowned_Rosy_Finch,0.8571428571428571,0.8275862068965517,0.8421052631578947,29.0
Purple_Finch,0.875,0.9333333333333333,0.9032258064516129,30.0
Northern_Flicker,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Acadian_Flycatcher,0.41509433962264153,0.7586206896551724,0.5365853658536586,29.0
Great_Crested_Flycatcher,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Least_Flycatcher,0.36,0.3103448275862069,0.3333333333333333,29.0
Olive_sided_Flycatcher,0.5714285714285714,0.6666666666666666,0.6153846153846154,30.0
Scissor_tailed_Flycatcher,0.6511627906976745,0.9333333333333333,0.7671232876712328,30.0
Vermilion_Flycatcher,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
Yellow_bellied_Flycatcher,0.7222222222222222,0.4482758620689655,0.5531914893617021,29.0
Frigatebird,0.8,0.6666666666666666,0.7272727272727273,30.0
Northern_Fulmar,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0
Gadwall,0.6222222222222222,0.9333333333333333,0.7466666666666667,30.0
American_Goldfinch,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
European_Goldfinch,1.0,0.9333333333333333,0.9655172413793104,30.0
Boat_tailed_Grackle,0.4791666666666667,0.7666666666666667,0.5897435897435898,30.0
Eared_Grebe,0.75,0.7,0.7241379310344828,30.0
Horned_Grebe,0.8571428571428571,0.8,0.8275862068965517,30.0
Pied_billed_Grebe,1.0,0.7,0.8235294117647058,30.0
Western_Grebe,0.84375,0.9,0.8709677419354839,30.0
Blue_Grosbeak,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Evening_Grosbeak,0.6976744186046512,1.0,0.821917808219178,30.0
Pine_Grosbeak,0.7,0.9333333333333333,0.8,30.0
Rose_breasted_Grosbeak,1.0,0.9666666666666667,0.9830508474576272,30.0
