,precision,recall,f1-score,support
Black_footed_Albatross,0.9375,0.5,0.6521739130434783,30.0
Laysan_Albatross,0.7368421052631579,0.4666666666666667,0.5714285714285714,30.0
Sooty_Albatross,0.4807692307692308,0.8928571428571429,0.625,28.0
Groove_billed_Ani,0.9333333333333333,0.4666666666666667,0.6222222222222222,30.0
Crested_Auklet,0.9090909090909091,0.7142857142857143,0.8,14.0
Least_Auklet,1.0,1.0,1.0,11.0
Parakeet_Auklet,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
Rhinoceros_Auklet,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
Brewer_Blackbird,0.391304347826087,0.6206896551724138,0.48,29.0
Red_winged_Blackbird,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Rusty_Blackbird,0.5,0.5333333333333333,0.5161290322580645,30.0
Yellow_headed_Blackbird,0.96,0.9230769230769231,0.9411764705882353,26.0
Bobolink,0.7941176470588235,0.9,0.84375,30.0
Indigo_Bunting,0.7837837837837838,0.9666666666666667,0.8656716417910447,30.0
Lazuli_Bunting,0.8387096774193549,0.9285714285714286,0.8813559322033898,28.0
Painted_Bunting,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
Cardinal,0.7027027027027027,0.9629629629629629,0.8125,27.0
Spotted_Catbird,1.0,0.9333333333333333,0.9655172413793104,15.0
Gray_Catbird,0.6923076923076923,0.9310344827586207,0.7941176470588235,29.0
Yellow_breasted_Chat,0.7027027027027027,0.896551724137931,0.7878787878787878,29.0
Eastern_Towhee,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Chuck_will_Widow,0.7037037037037037,0.7307692307692307,0.7169811320754716,26.0
Brandt_Cormorant,0.4864864864864865,0.6206896551724138,0.5454545454545454,29.0
Red_faced_Cormorant,0.64,0.7272727272727273,0.6808510638297872,22.0
Pelagic_Cormorant,0.5555555555555556,0.5,0.5263157894736842,30.0
Bronzed_Cowbird,0.6923076923076923,0.9,0.782608695652174,30.0
Shiny_Cowbird,0.5,0.23333333333333334,0.3181818181818182,30.0
Brown_Creeper,0.84375,0.9310344827586207,0.8852459016393442,29.0
American_Crow,0.5,0.1,0.16666666666666666,30.0
Fish_Crow,0.2786885245901639,0.5666666666666667,0.37362637362637363,30.0
Black_billed_Cuckoo,0.8275862068965517,0.8,0.8135593220338984,30.0
Mangrove_Cuckoo,1.0,0.6086956521739131,0.7567567567567568,23.0
Yellow_billed_Cuckoo,0.55,0.7586206896551724,0.6376811594202898,29.0
Gray_crowned_Rosy_Finch,1.0,0.7931034482758621,0.8846153846153846,29.0
Purple_Finch,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Northern_Flicker,0.9310344827586207,0.9,0.9152542372881356,30.0
Acadian_Flycatcher,0.48,0.41379310344827586,0.4444444444444444,29.0
Great_Crested_Flycatcher,0.7931034482758621,0.7666666666666667,0.7796610169491526,30.0
Least_Flycatcher,0.4166666666666667,0.1724137931034483,0.24390243902439024,29.0
Olive_sided_Flycatcher,0.6956521739130435,0.5333333333333333,0.6037735849056604,30.0
Scissor_tailed_Flycatcher,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
Vermilion_Flycatcher,1.0,0.9,0.9473684210526315,30.0
Yellow_bellied_Flycatcher,0.3541666666666667,0.5862068965517241,0.44155844155844154,29.0
Frigatebird,0.7714285714285715,0.9,0.8307692307692308,30.0
Northern_Fulmar,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Gadwall,0.84375,0.9,0.8709677419354839,30.0
American_Goldfinch,0.8571428571428571,0.8,0.8275862068965517,30.0
European_Goldfinch,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Boat_tailed_Grackle,0.4666666666666667,0.23333333333333334,0.3111111111111111,30.0
Eared_Grebe,0.65,0.43333333333333335,0.52,30.0
Horned_Grebe,0.46296296296296297,0.8333333333333334,0.5952380952380952,30.0
Pied_billed_Grebe,0.9375,0.5,0.6521739130434783,30.0
Western_Grebe,1.0,0.7,0.8235294117647058,30.0
Blue_Grosbeak,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Evening_Grosbeak,1.0,0.9,0.9473684210526315,30.0
Pine_Grosbeak,0.8,0.8,0.8,30.0
Rose_breasted_Grosbeak,0.90625,0.9666666666666667,0.9354838709677419,30.0
Pigeon_Guillemot,0.8148148148148148,0.7857142857142857,0.8,28.0
California_Gull,0.3333333333333333,0.1,0.15384615384615385,30.0
Glaucous_winged_Gull,0.3902439024390244,0.5517241379310345,0.45714285714285713,29.0
Heermann_Gull,1.0,0.8666666666666667,0.9285714285714286,30.0
Herring_Gull,0.5263157894736842,0.3333333333333333,0.40816326530612246,30.0
Ivory_Gull,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Ring_billed_Gull,0.4444444444444444,0.4,0.42105263157894735,30.0
Slaty_backed_Gull,0.38235294117647056,0.65,0.48148148148148145,20.0
Western_Gull,0.4074074074074074,0.7333333333333333,0.5238095238095238,30.0
Anna_Hummingbird,0.7,0.7,0.7,30.0
Ruby_throated_Hummingbird,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0
Rufous_Hummingbird,0.875,0.7,0.7777777777777778,30.0
Green_Violetear,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Long_tailed_Jaeger,0.5625,0.3,0.391304347826087,30.0
Pomarine_Jaeger,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
Blue_Jay,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Florida_Jay,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0
Green_Jay,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
Dark_eyed_Junco,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Tropical_Kingbird,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Gray_Kingbird,0.49019607843137253,0.8620689655172413,0.625,29.0
Belted_Kingfisher,0.6136363636363636,0.9,0.7297297297297297,30.0
Green_Kingfisher,0.8,0.8,0.8,30.0
Pied_Kingfisher,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Ringed_Kingfisher,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
White_breasted_Kingfisher,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0
Red_legged_Kittiwake,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
Horned_Lark,0.90625,0.9666666666666667,0.9354838709677419,30.0
Pacific_Loon,0.7435897435897436,0.9666666666666667,0.8405797101449275,30.0
Mallard,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Western_Meadowlark,0.9,0.9,0.9,30.0
Hooded_Merganser,0.8888888888888888,0.8,0.8421052631578947,30.0
Red_breasted_Merganser,0.6590909090909091,0.9666666666666667,0.7837837837837838,30.0
Mockingbird,0.7894736842105263,0.5,0.6122448979591837,30.0
Nighthawk,0.78125,0.8333333333333334,0.8064516129032258,30.0
Clark_Nutcracker,0.7692307692307693,1.0,0.8695652173913043,30.0
White_breasted_Nuthatch,0.90625,0.9666666666666667,0.9354838709677419,30.0
Baltimore_Oriole,0.92,0.7666666666666667,0.8363636363636363,30.0
Hooded_Oriole,0.8333333333333334,0.6666666666666666,0.7407407407407407,30.0
Orchard_Oriole,0.8695652173913043,0.6896551724137931,0.7692307692307693,29.0
Scott_Oriole,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Ovenbird,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Brown_Pelican,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
White_Pelican,0.72,0.9,0.8,20.0
Western_Wood_Pewee,0.47058823529411764,0.26666666666666666,0.3404255319148936,30.0
Sayornis,0.7391304347826086,0.5666666666666667,0.6415094339622641,30.0
American_Pipit,0.6333333333333333,0.6333333333333333,0.6333333333333333,30.0
