,precision,recall,f1-score,support
Black_footed_Albatross,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Laysan_Albatross,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
Sooty_Albatross,0.6923076923076923,0.6428571428571429,0.6666666666666666,28.0
Groove_billed_Ani,0.4375,0.7,0.5384615384615384,30.0
Crested_Auklet,0.6111111111111112,0.7857142857142857,0.6875,14.0
Least_Auklet,1.0,0.2727272727272727,0.42857142857142855,11.0
Parakeet_Auklet,0.7037037037037037,0.8260869565217391,0.76,23.0
Rhinoceros_Auklet,0.6363636363636364,0.3888888888888889,0.4827586206896552,18.0
Brewer_Blackbird,0.6428571428571429,0.3103448275862069,0.4186046511627907,29.0
Red_winged_Blackbird,0.8709677419354839,0.9,0.8852459016393442,30.0
Rusty_Blackbird,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
Yellow_headed_Blackbird,1.0,0.8846153846153846,0.9387755102040817,26.0
Bobolink,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Indigo_Bunting,0.5957446808510638,0.9333333333333333,0.7272727272727273,30.0
Lazuli_Bunting,0.6410256410256411,0.8928571428571429,0.746268656716418,28.0
Painted_Bunting,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
Cardinal,0.7272727272727273,0.8888888888888888,0.8,27.0
Spotted_Catbird,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Gray_Catbird,0.75,0.6206896551724138,0.6792452830188679,29.0
Yellow_breasted_Chat,0.7037037037037037,0.6551724137931034,0.6785714285714286,29.0
Eastern_Towhee,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Chuck_will_Widow,0.7391304347826086,0.6538461538461539,0.6938775510204082,26.0
Brandt_Cormorant,0.5,0.4827586206896552,0.49122807017543857,29.0
Red_faced_Cormorant,0.5142857142857142,0.8181818181818182,0.631578947368421,22.0
Pelagic_Cormorant,0.6666666666666666,0.2,0.3076923076923077,30.0
Bronzed_Cowbird,0.6857142857142857,0.8,0.7384615384615385,30.0
Shiny_Cowbird,0.22727272727272727,0.3333333333333333,0.2702702702702703,30.0
Brown_Creeper,0.8620689655172413,0.8620689655172413,0.8620689655172413,29.0
American_Crow,0.16666666666666666,0.03333333333333333,0.05555555555555555,30.0
Fish_Crow,0.26666666666666666,0.26666666666666666,0.26666666666666666,30.0
Black_billed_Cuckoo,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0
Mangrove_Cuckoo,0.5833333333333334,0.30434782608695654,0.4,23.0
Yellow_billed_Cuckoo,0.53125,0.5862068965517241,0.5573770491803278,29.0
Gray_crowned_Rosy_Finch,0.9230769230769231,0.8275862068965517,0.8727272727272727,29.0
Purple_Finch,0.9642857142857143,0.9,0.9310344827586207,30.0
Northern_Flicker,0.8709677419354839,0.9,0.8852459016393442,30.0
Acadian_Flycatcher,0.5172413793103449,0.5172413793103449,0.5172413793103449,29.0
Great_Crested_Flycatcher,0.7222222222222222,0.43333333333333335,0.5416666666666666,30.0
Least_Flycatcher,0.43333333333333335,0.4482758620689655,0.4406779661016949,29.0
Olive_sided_Flycatcher,0.5294117647058824,0.3,0.3829787234042553,30.0
Scissor_tailed_Flycatcher,0.9473684210526315,0.6,0.7346938775510204,30.0
Vermilion_Flycatcher,0.84375,0.9,0.8709677419354839,30.0
Yellow_bellied_Flycatcher,0.6428571428571429,0.3103448275862069,0.4186046511627907,29.0
Frigatebird,0.95,0.6333333333333333,0.76,30.0
Northern_Fulmar,0.6923076923076923,0.6,0.6428571428571429,30.0
Gadwall,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
American_Goldfinch,0.6829268292682927,0.9333333333333333,0.7887323943661971,30.0
European_Goldfinch,0.6363636363636364,0.9333333333333333,0.7567567567567568,30.0
Boat_tailed_Grackle,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
Eared_Grebe,0.5609756097560976,0.7666666666666667,0.647887323943662,30.0
Horned_Grebe,0.7142857142857143,0.5,0.5882352941176471,30.0
Pied_billed_Grebe,0.9310344827586207,0.9,0.9152542372881356,30.0
Western_Grebe,0.8235294117647058,0.9333333333333333,0.875,30.0
Blue_Grosbeak,0.7692307692307693,0.6666666666666666,0.7142857142857143,30.0
Evening_Grosbeak,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
Pine_Grosbeak,0.7058823529411765,0.8,0.75,30.0
Rose_breasted_Grosbeak,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Pigeon_Guillemot,0.625,0.7142857142857143,0.6666666666666666,28.0
California_Gull,0.0,0.0,0.0,30.0
Glaucous_winged_Gull,0.27848101265822783,0.7586206896551724,0.4074074074074074,29.0
Heermann_Gull,0.8108108108108109,1.0,0.8955223880597015,30.0
Herring_Gull,0.2857142857142857,0.13333333333333333,0.18181818181818182,30.0
Ivory_Gull,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Ring_billed_Gull,0.3142857142857143,0.36666666666666664,0.3384615384615385,30.0
Slaty_backed_Gull,0.38461538461538464,0.25,0.30303030303030304,20.0
Western_Gull,0.5714285714285714,0.26666666666666666,0.36363636363636365,30.0
Anna_Hummingbird,0.8421052631578947,0.5333333333333333,0.6530612244897959,30.0
Ruby_throated_Hummingbird,0.7,0.7,0.7,30.0
Rufous_Hummingbird,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Green_Violetear,0.725,0.9666666666666667,0.8285714285714286,30.0
Long_tailed_Jaeger,0.2553191489361702,0.4,0.3116883116883117,30.0
Pomarine_Jaeger,0.38095238095238093,0.26666666666666666,0.3137254901960784,30.0
Blue_Jay,0.9523809523809523,0.6666666666666666,0.7843137254901961,30.0
Florida_Jay,0.7692307692307693,1.0,0.8695652173913043,30.0
Green_Jay,0.8,0.8888888888888888,0.8421052631578947,27.0
Dark_eyed_Junco,0.6136363636363636,0.9,0.7297297297297297,30.0
Tropical_Kingbird,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Gray_Kingbird,0.7878787878787878,0.896551724137931,0.8387096774193549,29.0
Belted_Kingfisher,0.6842105263157895,0.8666666666666667,0.7647058823529411,30.0
Green_Kingfisher,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Pied_Kingfisher,0.875,0.9333333333333333,0.9032258064516129,30.0
Ringed_Kingfisher,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
White_breasted_Kingfisher,0.875,0.9333333333333333,0.9032258064516129,30.0
Red_legged_Kittiwake,0.76,0.8260869565217391,0.7916666666666666,23.0
Horned_Lark,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Pacific_Loon,0.6857142857142857,0.8,0.7384615384615385,30.0
Mallard,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0
Western_Meadowlark,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Hooded_Merganser,0.9230769230769231,0.8,0.8571428571428571,30.0
Red_breasted_Merganser,0.675,0.9,0.7714285714285715,30.0
Mockingbird,0.41025641025641024,0.5333333333333333,0.463768115942029,30.0
Nighthawk,0.7428571428571429,0.8666666666666667,0.8,30.0
Clark_Nutcracker,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
White_breasted_Nuthatch,0.875,0.7,0.7777777777777778,30.0
Baltimore_Oriole,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0
Hooded_Oriole,0.84,0.7,0.7636363636363637,30.0
Orchard_Oriole,0.8571428571428571,0.6206896551724138,0.72,29.0
Scott_Oriole,1.0,0.7,0.8235294117647058,30.0
Ovenbird,0.6842105263157895,0.8666666666666667,0.7647058823529411,30.0
Brown_Pelican,0.75,0.8,0.7741935483870968,30.0
White_Pelican,0.6666666666666666,0.9,0.7659574468085106,20.0
Western_Wood_Pewee,0.3157894736842105,0.2,0.24489795918367346,30.0
Sayornis,0.3466666666666667,0.8666666666666667,0.49523809523809526,30.0
American_Pipit,0.9285714285714286,0.43333333333333335,0.5909090909090909,30.0
Whip_poor_Will,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
Horned_Puffin,0.7941176470588235,0.9,0.84375,30.0
Common_Raven,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
White_necked_Raven,0.8571428571428571,0.2,0.32432432432432434,30.0
American_Redstart,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Geococcyx,0.7,0.9333333333333333,0.8,30.0
Loggerhead_Shrike,0.47058823529411764,0.26666666666666666,0.3404255319148936,30.0
Great_Grey_Shrike,0.48,0.8,0.6,30.0
Baird_Sparrow,0.8666666666666667,0.65,0.7428571428571429,20.0
Black_throated_Sparrow,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Brewer_Sparrow,0.6428571428571429,0.3103448275862069,0.4186046511627907,29.0
Chipping_Sparrow,0.6666666666666666,0.4666666666666667,0.5490196078431373,30.0
Clay_colored_Sparrow,0.7894736842105263,0.5172413793103449,0.625,29.0
House_Sparrow,0.425531914893617,0.6666666666666666,0.5194805194805194,30.0
Field_Sparrow,0.46153846153846156,0.6206896551724138,0.5294117647058824,29.0
Fox_Sparrow,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
Grasshopper_Sparrow,0.48717948717948717,0.6333333333333333,0.5507246376811594,30.0
Harris_Sparrow,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Henslow_Sparrow,0.6153846153846154,0.8,0.6956521739130435,30.0
Le_Conte_Sparrow,0.6538461538461539,0.5862068965517241,0.6181818181818182,29.0
Lincoln_Sparrow,0.55,0.7586206896551724,0.6376811594202898,29.0
Nelson_Sharp_tailed_Sparrow,0.6875,0.36666666666666664,0.4782608695652174,30.0
Savannah_Sparrow,0.8571428571428571,0.6,0.7058823529411765,30.0
Seaside_Sparrow,0.7894736842105263,0.5,0.6122448979591837,30.0
Song_Sparrow,0.5714285714285714,0.6666666666666666,0.6153846153846154,30.0
Tree_Sparrow,0.5714285714285714,0.4,0.47058823529411764,30.0
Vesper_Sparrow,0.6153846153846154,0.5333333333333333,0.5714285714285714,30.0
White_crowned_Sparrow,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
White_throated_Sparrow,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Cape_Glossy_Starling,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0
Bank_Swallow,0.5757575757575758,0.6333333333333333,0.6031746031746031,30.0
Barn_Swallow,0.7619047619047619,0.5333333333333333,0.6274509803921569,30.0
Cliff_Swallow,0.6363636363636364,0.7,0.6666666666666666,30.0
Tree_Swallow,0.8571428571428571,0.8,0.8275862068965517,30.0
Scarlet_Tanager,0.75,0.7,0.7241379310344828,30.0
Summer_Tanager,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Artic_Tern,0.3698630136986301,0.9310344827586207,0.5294117647058824,29.0
Black_Tern,0.3,0.2,0.24,30.0
Caspian_Tern,0.3269230769230769,0.5666666666666667,0.4146341463414634,30.0
Common_Tern,0.6666666666666666,0.13333333333333333,0.2222222222222222,30.0
Elegant_Tern,0.5555555555555556,0.16666666666666666,0.2564102564102564,30.0
Forsters_Tern,0.40625,0.43333333333333335,0.41935483870967744,30.0
Least_Tern,0.52,0.8666666666666667,0.65,30.0
Green_tailed_Towhee,0.5283018867924528,0.9333333333333333,0.6746987951807228,30.0
Brown_Thrasher,0.7272727272727273,0.8275862068965517,0.7741935483870968,29.0
Sage_Thrasher,0.8888888888888888,0.5333333333333333,0.6666666666666666,30.0
Black_capped_Vireo,0.7,1.0,0.8235294117647058,21.0
Blue_headed_Vireo,0.8695652173913043,0.6666666666666666,0.7547169811320755,30.0
Philadelphia_Vireo,0.5925925925925926,0.5517241379310345,0.5714285714285714,29.0
Red_eyed_Vireo,0.4727272727272727,0.8666666666666667,0.611764705882353,30.0
Warbling_Vireo,0.4473684210526316,0.5666666666666667,0.5,30.0
White_eyed_Vireo,0.7352941176470589,0.8333333333333334,0.78125,30.0
Yellow_throated_Vireo,0.6428571428571429,0.6206896551724138,0.631578947368421,29.0
Bay_breasted_Warbler,0.8,0.8,0.8,30.0
Black_and_white_Warbler,1.0,0.8,0.8888888888888888,30.0
Black_throated_Blue_Warbler,0.8333333333333334,0.8620689655172413,0.847457627118644,29.0
Blue_winged_Warbler,0.8,0.6666666666666666,0.7272727272727273,30.0
Canada_Warbler,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0
Cape_May_Warbler,0.9130434782608695,0.7,0.7924528301886793,30.0
Cerulean_Warbler,0.8275862068965517,0.8,0.8135593220338984,30.0
Chestnut_sided_Warbler,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Golden_winged_Warbler,0.7142857142857143,0.8620689655172413,0.78125,29.0
Hooded_Warbler,0.65625,0.7,0.6774193548387096,30.0
Kentucky_Warbler,0.75,0.7241379310344828,0.7368421052631579,29.0
