,precision,recall,f1-score,support
Black_footed_Albatross,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Laysan_Albatross,0.6129032258064516,0.6333333333333333,0.6229508196721312,30.0
Sooty_Albatross,0.5517241379310345,0.5714285714285714,0.5614035087719298,28.0
Groove_billed_Ani,0.6571428571428571,0.7666666666666667,0.7076923076923077,30.0
Crested_Auklet,0.48,0.8571428571428571,0.6153846153846154,14.0
Least_Auklet,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
Parakeet_Auklet,0.7894736842105263,0.6521739130434783,0.7142857142857143,23.0
Rhinoceros_Auklet,0.5789473684210527,0.6111111111111112,0.5945945945945946,18.0
Brewer_Blackbird,0.45,0.3103448275862069,0.3673469387755102,29.0
Red_winged_Blackbird,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
Rusty_Blackbird,0.5714285714285714,0.5333333333333333,0.5517241379310345,30.0
Yellow_headed_Blackbird,0.9545454545454546,0.8076923076923077,0.875,26.0
Bobolink,0.75,0.8,0.7741935483870968,30.0
Indigo_Bunting,0.5625,0.9,0.6923076923076923,30.0
Lazuli_Bunting,0.7419354838709677,0.8214285714285714,0.7796610169491526,28.0
Painted_Bunting,0.7878787878787878,0.9285714285714286,0.8524590163934426,28.0
Cardinal,0.8695652173913043,0.7407407407407407,0.8,27.0
Spotted_Catbird,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Gray_Catbird,0.8260869565217391,0.6551724137931034,0.7307692307692307,29.0
Yellow_breasted_Chat,0.75,0.6206896551724138,0.6792452830188679,29.0
Eastern_Towhee,0.9130434782608695,0.7,0.7924528301886793,30.0
Chuck_will_Widow,0.7,0.2692307692307692,0.3888888888888889,26.0
Brandt_Cormorant,0.75,0.41379310344827586,0.5333333333333333,29.0
Red_faced_Cormorant,0.5757575757575758,0.8636363636363636,0.6909090909090909,22.0
Pelagic_Cormorant,0.4166666666666667,0.6666666666666666,0.5128205128205128,30.0
Bronzed_Cowbird,0.9,0.6,0.72,30.0
Shiny_Cowbird,0.38461538461538464,0.16666666666666666,0.23255813953488372,30.0
Brown_Creeper,0.6428571428571429,0.9310344827586207,0.7605633802816901,29.0
American_Crow,0.0,0.0,0.0,30.0
Fish_Crow,0.25,0.23333333333333334,0.2413793103448276,30.0
Black_billed_Cuckoo,0.5609756097560976,0.7666666666666667,0.647887323943662,30.0
Mangrove_Cuckoo,0.5294117647058824,0.391304347826087,0.45,23.0
Yellow_billed_Cuckoo,0.6842105263157895,0.4482758620689655,0.5416666666666666,29.0
Gray_crowned_Rosy_Finch,0.78125,0.8620689655172413,0.819672131147541,29.0
Purple_Finch,0.8055555555555556,0.9666666666666667,0.8787878787878788,30.0
Northern_Flicker,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
