,precision,recall,f1-score,support
Black_footed_Albatross,0.7272727272727273,0.8,0.7619047619047619,30.0
Laysan_Albatross,1.0,0.6333333333333333,0.7755102040816326,30.0
Sooty_Albatross,0.92,0.8214285714285714,0.8679245283018868,28.0
Groove_billed_Ani,0.7692307692307693,0.6666666666666666,0.7142857142857143,30.0
Crested_Auklet,0.6666666666666666,0.8571428571428571,0.75,14.0
Least_Auklet,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Parakeet_Auklet,0.95,0.8260869565217391,0.8837209302325582,23.0
Rhinoceros_Auklet,0.5161290322580645,0.8888888888888888,0.6530612244897959,18.0
Brewer_Blackbird,0.37777777777777777,0.5862068965517241,0.4594594594594595,29.0
Red_winged_Blackbird,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Rusty_Blackbird,0.7272727272727273,0.26666666666666666,0.3902439024390244,30.0
Yellow_headed_Blackbird,0.78125,0.9615384615384616,0.8620689655172413,26.0
Bobolink,1.0,0.7666666666666667,0.8679245283018868,30.0
Indigo_Bunting,0.8421052631578947,0.5333333333333333,0.6530612244897959,30.0
Lazuli_Bunting,0.78125,0.8928571428571429,0.8333333333333334,28.0
Painted_Bunting,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
Cardinal,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0
Spotted_Catbird,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Gray_Catbird,0.8076923076923077,0.7241379310344828,0.7636363636363637,29.0
Yellow_breasted_Chat,0.84,0.7241379310344828,0.7777777777777778,29.0
Eastern_Towhee,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Chuck_will_Widow,0.48,0.46153846153846156,0.47058823529411764,26.0
Brandt_Cormorant,0.6428571428571429,0.6206896551724138,0.631578947368421,29.0
Red_faced_Cormorant,0.6551724137931034,0.8636363636363636,0.7450980392156863,22.0
Pelagic_Cormorant,0.6111111111111112,0.36666666666666664,0.4583333333333333,30.0
Bronzed_Cowbird,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
Shiny_Cowbird,0.2909090909090909,0.5333333333333333,0.3764705882352941,30.0
Brown_Creeper,0.9333333333333333,0.9655172413793104,0.9491525423728814,29.0
American_Crow,0.3409090909090909,0.5,0.40540540540540543,30.0
Fish_Crow,0.5,0.1,0.16666666666666666,30.0
Black_billed_Cuckoo,0.875,0.7,0.7777777777777778,30.0
