,precision,recall,f1-score,support
Black_footed_Albatross,0.7241379310344828,0.7,0.711864406779661,30.0
Laysan_Albatross,0.4117647058823529,0.7,0.5185185185185185,30.0
Sooty_Albatross,0.7142857142857143,0.7142857142857143,0.7142857142857143,28.0
Groove_billed_Ani,0.7777777777777778,0.7,0.7368421052631579,30.0
Crested_Auklet,0.5238095238095238,0.7857142857142857,0.6285714285714286,14.0
Least_Auklet,1.0,0.8181818181818182,0.9,11.0
Parakeet_Auklet,1.0,0.6521739130434783,0.7894736842105263,23.0
Rhinoceros_Auklet,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
Brewer_Blackbird,0.7857142857142857,0.3793103448275862,0.5116279069767442,29.0
Red_winged_Blackbird,0.8,0.8,0.8,30.0
Rusty_Blackbird,0.7368421052631579,0.4666666666666667,0.5714285714285714,30.0
Yellow_headed_Blackbird,0.7741935483870968,0.9230769230769231,0.8421052631578947,26.0
Bobolink,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
Indigo_Bunting,0.6923076923076923,0.9,0.782608695652174,30.0
Lazuli_Bunting,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
Painted_Bunting,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
Cardinal,0.6756756756756757,0.9259259259259259,0.78125,27.0
Spotted_Catbird,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Gray_Catbird,0.6756756756756757,0.8620689655172413,0.7575757575757576,29.0
Yellow_breasted_Chat,0.631578947368421,0.8275862068965517,0.7164179104477612,29.0
Eastern_Towhee,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Chuck_will_Widow,0.6666666666666666,0.07692307692307693,0.13793103448275862,26.0
Brandt_Cormorant,0.6666666666666666,0.3448275862068966,0.45454545454545453,29.0
Red_faced_Cormorant,0.5666666666666667,0.7727272727272727,0.6538461538461539,22.0
Pelagic_Cormorant,0.5806451612903226,0.6,0.5901639344262295,30.0
Bronzed_Cowbird,0.9411764705882353,0.5333333333333333,0.6808510638297872,30.0
Shiny_Cowbird,0.2236842105263158,0.5666666666666667,0.32075471698113206,30.0
Brown_Creeper,0.9,0.9310344827586207,0.9152542372881356,29.0
American_Crow,0.3333333333333333,0.1,0.15384615384615385,30.0
Fish_Crow,0.45454545454545453,0.3333333333333333,0.38461538461538464,30.0
Black_billed_Cuckoo,0.6923076923076923,0.3,0.4186046511627907,30.0
Mangrove_Cuckoo,0.4090909090909091,0.782608695652174,0.5373134328358209,23.0
Yellow_billed_Cuckoo,0.30303030303030304,0.6896551724137931,0.42105263157894735,29.0
Gray_crowned_Rosy_Finch,1.0,0.5862068965517241,0.7391304347826086,29.0
Purple_Finch,0.8108108108108109,1.0,0.8955223880597015,30.0
Northern_Flicker,0.7105263157894737,0.9,0.7941176470588235,30.0
Acadian_Flycatcher,0.425531914893617,0.6896551724137931,0.5263157894736842,29.0
Great_Crested_Flycatcher,0.65625,0.7,0.6774193548387096,30.0
Least_Flycatcher,0.2222222222222222,0.06896551724137931,0.10526315789473684,29.0
Olive_sided_Flycatcher,0.68,0.5666666666666667,0.6181818181818182,30.0
Scissor_tailed_Flycatcher,0.5,0.7666666666666667,0.6052631578947368,30.0
Vermilion_Flycatcher,1.0,0.7,0.8235294117647058,30.0
Yellow_bellied_Flycatcher,0.4444444444444444,0.27586206896551724,0.3404255319148936,29.0
Frigatebird,0.9285714285714286,0.43333333333333335,0.5909090909090909,30.0
Northern_Fulmar,0.5208333333333334,0.8333333333333334,0.6410256410256411,30.0
Gadwall,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
American_Goldfinch,1.0,0.7,0.8235294117647058,30.0
European_Goldfinch,0.9310344827586207,0.9,0.9152542372881356,30.0
Boat_tailed_Grackle,0.6470588235294118,0.36666666666666664,0.46808510638297873,30.0
Eared_Grebe,0.6052631578947368,0.7666666666666667,0.6764705882352942,30.0
Horned_Grebe,0.76,0.6333333333333333,0.6909090909090909,30.0
Pied_billed_Grebe,0.92,0.7666666666666667,0.8363636363636363,30.0
Western_Grebe,0.8,0.9333333333333333,0.8615384615384616,30.0
Blue_Grosbeak,0.8571428571428571,0.8,0.8275862068965517,30.0
Evening_Grosbeak,0.8529411764705882,0.9666666666666667,0.90625,30.0
