,precision,recall,f1-score,support
Black_footed_Albatross,0.8,0.6666666666666666,0.7272727272727273,30.0
Laysan_Albatross,0.875,0.4666666666666667,0.6086956521739131,30.0
Sooty_Albatross,0.7692307692307693,0.7142857142857143,0.7407407407407407,28.0
Groove_billed_Ani,0.9523809523809523,0.6666666666666666,0.7843137254901961,30.0
Crested_Auklet,0.6666666666666666,0.7142857142857143,0.6896551724137931,14.0
Least_Auklet,1.0,0.7272727272727273,0.8421052631578947,11.0
Parakeet_Auklet,0.7857142857142857,0.9565217391304348,0.8627450980392157,23.0
Rhinoceros_Auklet,0.7647058823529411,0.7222222222222222,0.7428571428571429,18.0
Brewer_Blackbird,0.3125,0.3448275862068966,0.32786885245901637,29.0
Red_winged_Blackbird,0.9,0.9,0.9,30.0
Rusty_Blackbird,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0
Yellow_headed_Blackbird,0.8571428571428571,0.9230769230769231,0.8888888888888888,26.0
Bobolink,0.9,0.9,0.9,30.0
Indigo_Bunting,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Lazuli_Bunting,0.8846153846153846,0.8214285714285714,0.8518518518518519,28.0
Painted_Bunting,0.96,0.8571428571428571,0.9056603773584906,28.0
Cardinal,0.6136363636363636,1.0,0.7605633802816901,27.0
Spotted_Catbird,1.0,0.9333333333333333,0.9655172413793104,15.0
Gray_Catbird,0.78125,0.8620689655172413,0.819672131147541,29.0
Yellow_breasted_Chat,0.6216216216216216,0.7931034482758621,0.696969696969697,29.0
Eastern_Towhee,0.6222222222222222,0.9333333333333333,0.7466666666666667,30.0
Chuck_will_Widow,0.4489795918367347,0.8461538461538461,0.5866666666666667,26.0
Brandt_Cormorant,0.6206896551724138,0.6206896551724138,0.6206896551724138,29.0
Red_faced_Cormorant,0.8095238095238095,0.7727272727272727,0.7906976744186046,22.0
Pelagic_Cormorant,0.7391304347826086,0.5666666666666667,0.6415094339622641,30.0
Bronzed_Cowbird,0.8888888888888888,0.8,0.8421052631578947,30.0
Shiny_Cowbird,0.32,0.26666666666666666,0.2909090909090909,30.0
Brown_Creeper,0.75,0.9310344827586207,0.8307692307692308,29.0
American_Crow,0.43243243243243246,0.5333333333333333,0.47761194029850745,30.0
Fish_Crow,0.45454545454545453,0.3333333333333333,0.38461538461538464,30.0
